label,claim
false,"When Disney was looking to build Disney World, they came to Miami and we told Disney to take a hike."
mostly-true,California has robust job growth that outpaces the rest of the nation.
false,Cap-and-trade is wildly unpopular with Americans.
pants-fire,"Look, we are at war with these people and they dont wear uniforms. This is a war against people that are vicious, violent people, that we have no idea who they are, where they come from. We are allowing tens of thousands of them into our country now."
pants-fire,"My opponent in November of 2008 sent a missive to the White House, to President Obama-elect, and said, Heres how you need to sell cap-and-trade to the American people."
half-true,"In Texas, weve had three ISIS-related incidents already."
false,On timing of announcement for president.
barely-true,"Maggie Hassan raised tuition, making it the highest in America."
false,"Dem-controlled Ohio House voted to change the process, to create objective criteria, to modify the Constitution ... to take politics out of the efforts to draw legislative boundaries."
mostly-true,Says Bernie Sanders advocated putting Iranian troops into Syria to try and resolve the conflict there. Putting them right on the doorstep of Israel.
false,The New York Times had to retract its story that Hillary Clintons email handling had broken certain laws.
false,"Just on the issue of immigration alone, it is next to impossible to find a policy difference between (Donald) Trump and Congressman (Joe) Heck."
half-true,"But it was Hillary Clinton, in an interview with Tom Brokaw, who quote 'paid tribute' to Ronald Reagan's economic and foreign policy."
barely-true,"A little-known unit of the Department of Justice, the Community Relations Service, was deployed to Sanford, FL, following the Trayvon Martin shooting to help organize and manage rallies and protests against George Zimmerman."
mostly-true,Says the foreman of the jury that convicted him was a Greenpeace activist.
pants-fire,An Obama campaign tactic for rallying voters is to offer them cell phones.
false,Not a single unarmed white person has been shot by the police in New York in about 45 years.
pants-fire,"McDonalds hamburgers are only 15 percent real beef. The other 85 percent is meat filler cleansed with ammonia, which causes stomach and intestinal cancer."
mostly-true,Rep. Peter Petrarca voted on two pieces of legislation that helped auto body shops ... and at that point I think there is a conflict of interest.
pants-fire,Dan Gelber: On the record against scholarships to help our needy children attend Jewish private schools.
half-true,I have the experience as Senate Budget Chair of cutting $4.5 billion in spending -- to close the deficit while protecting education and health care.
false,On counting state budget shortfalls
barely-true,"Says 160,000 kids stay home every day because they are afraid to go to school because of bullying."
true,The Florida Legislature raised taxes and fees by almost $2 billion in the 2009 session.
pants-fire,"Congressional lawmakers earn their salaries FOR LIFE, which for House Minority Leader Nancy Pelosi would add up to $803,700 Dollars a year for LIFE including FREE medical."
false,Wisconsin Gov. Scott Walkers estimate of a $3.6 billion state budget deficit is manufactured and a bogus figure.
mostly-true,"Were fifth in the world (in executions), behind China, Iran, Iraq and Saudi Arabia."
false,The White House branded the memorial service for the Tucson shootings with a Together We Thrive logo and slogan.
true,On support for gay marriage.
true,"The truth is David Cicilline voted for tougher laws against child abusers, domestic abusers and abusers of the elderly."
half-true,"Says Charlie Crist stood there, over 3 African-American prisoners inchains, on their knees, on the side of the road. Saying that it was a great sight. Saying we needed to bring it to Florida.And you did this whether you know or not on the eve of Juneteenth, the day the African-American community celebrates the end of slavery."
half-true,Georgias illegal-immigration legislation simply follows existing federal law.
false,Says Connie Mack failed to pay his child support.
pants-fire,I was banned from talking about Bill Ayers during the 2008 presidential campaign.
mostly-true,Shaheen votes with Obama 99 percent of the time.
barely-true,Currently we have some 40-45% of Americans who are not paying any taxes.
pants-fire,Theres no negative advertising in my campaign at all.
barely-true,Says the unemployment rate for African-American youths is 59 percent.
mostly-true,The turnout on May 14th was just 7 percent -- the lowest turnout in decades.
pants-fire,Abortion is the second-most conducted surgical procedure in this country.
